SubjID,Run,Feedback,Counterbalance,Block,Trial,Condition,Cond_num(1=E/2=H),CorResp(1=L/2=R),Resp,RT,GradedResp,CorGrid,DecoyGrid,TrialStart/Stim1,Stim2,Stim3,Stim4,MemProbe,Feedback,TrialEnd
AP212,1,y,1,1,1,Easy,1,2,1,0.89785,0,10   6   8   9,7  6  8  9,16.0738,17.0737,18.0736,19.0736,20.0735,20.9834,21.2401
AP212,1,y,1,1,2,Easy,1,1,2,0.67787,0,3   8  12   1,3  8  7  1,24.0813,25.0898,26.0965,27.0958,28.0951,28.7895,29.0444
AP212,1,y,1,1,3,Easy,1,1,1,0.65894,1,2  12   7   8,3  12   7   8,32.0923,33.0916,34.0909,35.0902,36.0895,36.7557,37.0056
AP212,1,y,1,1,4,Easy,1,2,2,0.70167,1,9   4  12  11,9   4   2  11,40.0888,41.0887,42.0886,43.0886,44.0885,44.8051,45.0551
AP212,1,y,1,2,5,Hard,2,1,1,0.57604,1,7   5  10   3   9   8   1   2,7  5  6  3  9  8  1  2,48.0977,49.1048,50.1129,51.1213,52.1281,52.7212,52.9775
AP212,1,y,1,2,6,Hard,2,1,2,0.79125,0,3  10   8   4   6   2   9  11,3  10   8   4   6   2   9   7,56.1377,57.1413,58.1406,59.1399,60.1392,60.9386,61.1884
AP212,1,y,1,2,7,Hard,2,1,2,0.55531,0,10   6   7   2  12  11   1   8,10   6   7   2  12   5   1   8,64.1371,65.1371,66.137,67.1369,68.1368,68.7035,68.9535
AP212,1,y,1,2,8,Hard,2,2,2,0.71344,1,3  11   7   9  10   8  12   1,3  11   4   9  10   8  12   1,72.1366,73.1365,74.1459,75.153,76.1612,76.8862,77.1438
AP212,1,y,1,3,9,Hard,2,1,1,0.69832,1,11   6   7   5   4  12   9   1,11   6  10   5   4  12   9   1,80.1694,81.1743,82.1736,83.1729,84.1722,84.8883,85.1382
AP212,1,y,1,3,10,Hard,2,1,2,0.6947,0,6   2   1   9   7   5  12   3,6  2  1  9  7  5  8  3,88.1694,89.1687,90.1687,91.1686,92.1685,92.8685,93.1185
AP212,1,y,1,3,11,Hard,2,1,2,0.62525,0,1  10   4   3  11   8   2   5,1   6   4   3  11   8   2   5,96.1683,97.1682,98.1681,99.1681,100.1776,100.8179,101.0679
