SubjID,Run,Feedback,Counterbalance,Block,Trial,Condition,Cond_num(1=E/2=H),CorResp(1=L/2=R),Resp,RT,GradedResp,CorGrid,DecoyGrid,TrialStart/Stim1,Stim2,Stim3,Stim4,MemProbe,Feedback,TrialEnd
AV212,2,y,2,1,1,Hard,2,1,1,1.6117,1,7  11   8   5  10   6  12   3,7  11   8   1  10   6  12   3,16.066,17.0653,18.065,19.0649,20.0648,21.6813,21.9313
AV212,2,y,2,1,2,Hard,2,2,1,2.3785,0,8  12   2   9  10   5  11   3,8  12   2   4  10   5  11   3,24.0646,25.0645,26.0644,27.0643,28.0643,30.4558,30.714
AV212,2,y,2,1,3,Hard,2,1,1,2.8958,1,5   6  11   2   3   1   4   8,5   6  11   2   3   1   4   9,32.0713,33.0806,34.0866,35.0858,36.0851,38.9967,39.2496
AV212,2,y,2,1,4,Hard,2,1,-1,3,0,2   9   3  10   6  11   1   4,2   9   3  10   6  11   1   7,40.0823,41.0816,42.0809,43.0802,44.0798,47.0962,47.3461
AV212,2,y,2,2,5,Easy,1,1,1,0.77934,1,3  5  2  4,3  12   2   4,48.0795,49.0794,50.0793,51.0793,52.0792,52.8732,53.1291
AV212,2,y,2,2,6,Easy,1,2,2,1.1522,1,2  5  7  4,2  1  7  4,56.0876,57.0955,58.1029,59.112,60.1181,61.2839,61.5338
AV212,2,y,2,2,7,Easy,1,2,2,1.5141,1,12   1   9   2,12   1   9  10,64.1153,65.1146,66.1138,67.1131,68.1124,69.6445,69.8945
AV212,2,y,2,2,8,Easy,1,1,1,1.0976,1,5   3   9  11,5   1   9  11,72.1111,73.111,74.111,75.1109,76.1108,77.2226,77.4773
AV212,2,y,2,3,9,Easy,1,2,2,1.3205,1,6  9  8  1,6  9  3  1,80.1105,81.1199,82.127,83.1351,84.1436,85.4767,85.7333
AV212,2,y,2,3,10,Easy,1,2,2,1.3607,1,8   9   2  11,8   5   2  11,88.1482,89.1475,90.1468,91.1461,92.1454,93.5111,93.7609
AV212,2,y,2,3,11,Easy,1,1,1,0.87609,1,1   3  11   6,1  3  7  6,96.1427,97.1426,98.1426,99.1425,100.1424,101.0256,101.2756
AV212,2,y,2,3,12,Easy,1,2,2,0.69669,1,12  11   3   2,6  11   3   2,104.1421,105.142,106.142,107.1514,108.1585,108.8668,109.125
AV212,2,y,2,4,13,Hard,2,1,2,1.7071,0,11   9  10   3  12   1   4   7,8   9  10   3  12   1   4   7,112.1707,113.1748,114.1798,115.179,116.1783,117.8938,118.1436
AV212,2,y,2,4,14,Hard,2,2,2,1.9669,1,4  11   6   3  10   8   5  12,4  11   1   3  10   8   5  12,120.1755,121.1748,122.1742,123.1741,124.174,126.1571,126.4071
AV212,2,y,2,4,15,Hard,2,2,2,1.1116,1,1   2   9   4   3  11   8   7,1   2   9  12   3  11   8   7,128.1737,129.1737,130.1736,131.1735,132.1734,133.2995,133.5566
AV212,2,y,2,4,16,Hard,2,1,1,1.1666,1,5   4   3  10  12   7   8   2,5   4   3  10  12   7   8  11,136.1808,137.1897,138.1961,139.1953,140.1946,141.3771,141.627
AV212,2,y,2,5,17,Easy,1,2,2,0.39989,1,8  12   4   7,8  12  10   7,157.7322,158.7382,159.7474,160.7547,161.7627,162.179,162.4289
AV212,2,y,2,5,18,Easy,1,2,2,1.1799,1,7  11   1   6,7  11   3   6,165.771,166.7758,167.7751,168.7744,169.7737,170.9706,171.2226
AV212,2,y,2,5,19,Easy,1,1,1,0.96053,1,10  12   4  11,10  12   7  11,173.7708,174.7704,175.7703,176.7702,177.7702,178.7367,178.9867
AV212,2,y,2,5,20,Easy,1,1,1,1.4769,1,7   2   8  11,7   1   8  11,181.7699,182.7698,183.7697,184.7697,185.779,187.2694,187.5277
AV212,2,y,2,6,21,Hard,2,2,2,1.2547,1,8  10  11   4  12   3   9   6,8  10   5   4  12   3   9   6,189.786,190.7921,191.7914,192.7907,193.79,195.0557,195.3056
AV212,2,y,2,6,22,Hard,2,1,2,2.6548,0,2   1   9  12   3   8   4   6,2   1   5  12   3   8   4   6,197.7871,198.7864,199.7857,200.7852,201.7851,204.4515,204.7015
AV212,2,y,2,6,23,Hard,2,2,2,1.4638,1,12   4   2  11   7   6  10   8,12   4   2  11   7   6  10   5,205.7848,206.7848,207.7847,208.7846,209.7845,211.2609,211.5177
AV212,2,y,2,6,24,Hard,2,2,2,0.45664,1,11   6   9  10  12   8   5   7,11   6   9   2  12   8   5   7,213.7925,214.8008,215.8077,216.8174,217.8229,218.2893,218.5391
AV212,2,y,2,7,25,Hard,2,2,2,1.7685,1,8   7   2   5  10   1   9   6,8   7   2   5  10   1  11   6,221.8201,222.8194,223.8187,224.818,225.8173,227.5998,227.8498
AV212,2,y,2,7,26,Hard,2,1,1,1.0352,1,9  10   8   3   7   5   2  11,9  10   8   3   7   5   4  11,229.8164,230.8164,231.8163,232.8162,233.8161,234.866,235.116
AV212,2,y,2,7,27,Hard,2,1,1,1.7003,1,12   5   6   1   8  11   4   2,12   9   6   1   8  11   4   2,237.8254,238.8324,239.8407,240.849,241.8559,243.5713,243.8212
AV212,2,y,2,7,28,Hard,2,1,1,1.3903,1,5  10   7  12   6   9   3   2,5  10   7  12   6   9  11   2,245.8653,246.869,247.8683,248.8676,249.8669,251.2659,251.5157
AV212,2,y,2,8,29,Easy,1,2,2,0.47846,1,9   3   1  11,7   3   1  11,253.8647,254.8646,255.8645,256.8645,257.8644,258.3609,258.6143
AV212,2,y,2,8,30,Easy,1,1,1,1.1981,1,7  5  3  2,7  6  3  2,261.8641,262.8641,263.8736,264.8806,265.8889,267.1047,267.3545
AV212,2,y,2,8,31,Easy,1,2,2,0.53724,1,6  11  10  12,6  11   5  12,269.8969,270.902,271.9013,272.9006,273.8999,274.4495,274.6993
AV212,2,y,2,8,32,Easy,1,1,1,0.76005,1,6   5  12   8,6   5  12   9,277.897,278.8963,279.8962,280.8961,281.896,282.6626,282.9125
AV212,2,y,2,9,33,Hard,2,2,1,1.0168,0,2   7   3  10   9   5   8   6,2   7   3  10   9  11   8   6,299.0154,300.0147,301.014,302.0133,303.0125,304.0451,304.295
AV212,2,y,2,9,34,Hard,2,1,1,0.92489,1,4   6   9   2  11   1   7   3,4   6   5   2  11   1   7   3,307.0109,308.0108,309.0107,310.0107,311.0106,311.9438,312.1938
AV212,2,y,2,9,35,Hard,2,1,1,1.7659,1,3   1   6   2   7   9  12  10,3   1   6   2   7   9  12   4,315.0103,316.0102,317.0193,318.0268,319.0345,320.8166,321.0664
AV212,2,y,2,9,36,Hard,2,1,1,1.1026,1,8   1   5  11   3   9   4   7,8   1   2  11   3   9   4   7,323.0431,324.0476,325.0469,326.0462,327.0455,328.1614,328.4112
AV212,2,y,2,10,37,Easy,1,1,1,0.48936,1,1  11   6  10,1  11   6   8,331.0427,332.0424,333.0424,334.0423,335.0422,335.5421,335.7921
AV212,2,y,2,10,38,Easy,1,1,1,0.57045,1,2  9  6  3,8  9  6  3,339.0419,340.0418,341.0418,342.0417,343.0508,343.6337,343.8915
AV212,2,y,2,10,39,Easy,1,1,1,0.55424,1,8  12   7   3,4  12   7   3,347.058,348.0639,349.0632,350.0625,351.0618,351.6281,351.8779
