SubjID,Run,Feedback,Counterbalance,Block,Trial,Condition,Cond_num(1=E/2=H),CorResp(1=L/2=R),Resp,RT,GradedResp,CorGrid,DecoyGrid,TrialStart/Stim1,Stim2,Stim3,Stim4,MemProbe,Feedback,TrialEnd
BB211,1,y,1,1,1,Easy,1,2,1,0.67749,0,3   1  11   5,3   1  10   5,16.0893,17.0892,18.0892,19.0891,20.089,20.7826,21.0389
BB211,1,y,1,1,2,Easy,1,2,2,0.43671,1,1   6   2  10,1  12   2  10,24.097,25.1053,26.1123,27.1219,28.1275,28.5771,28.827
BB211,1,y,1,1,3,Easy,1,2,2,0.44696,1,11   5  12  10,11   5  12   6,32.1246,33.1239,34.1232,35.1225,36.1218,36.5715,36.8213
BB211,1,y,1,1,4,Easy,1,1,2,0.35629,0,11   7   5  12,11   8   5  12,40.121,41.1209,42.1208,43.1208,44.1207,44.4873,44.7373
BB211,1,y,1,2,5,Hard,2,1,1,0.34469,1,10  11   1  12   9   6   2   5,10  11   1   8   9   6   2   5,48.13,49.137,50.1453,51.1535,52.1605,52.5201,52.7767
BB211,1,y,1,2,6,Hard,2,2,1,0.33167,0,6   9   5   2   1   8   7  12,11   9   5   2   1   8   7  12,56.1699,57.1736,58.1729,59.1722,60.1715,60.5196,60.7711
BB211,1,y,1,2,7,Hard,2,1,2,0.32232,0,7   2   5   1   4  10  12  11,7   6   5   1   4  10  12  11,64.1693,65.1692,66.1692,67.1691,68.169,68.5023,68.7523
BB211,1,y,1,2,8,Hard,2,2,1,0.2087,0,7   4   9  12   1   3  11  10,7   4   9   2   1   3  11  10,72.1688,73.1687,74.1783,75.1852,76.1935,76.4185,76.6765
BB211,1,y,1,3,9,Hard,2,2,2,0.4007,1,4  11  10   1   9   6   3   5,12  11  10   1   9   6   3   5,80.2015,81.2067,82.206,83.2053,84.2045,84.6209,84.8707
BB211,1,y,1,3,10,Hard,2,1,2,0.31964,0,7   1  11   9  12   6   5  10,7   8  11   9  12   6   5  10,88.2017,89.201,90.2009,91.2008,92.2007,92.534,92.784
BB211,1,y,1,3,11,Hard,2,1,2,0.57472,0,2   9   6  12   1   5   3   8,2   9  11  12   1   5   3   8,96.2005,97.2004,98.2003,99.2002,100.2099,100.8001,101.0501
BB211,1,y,1,3,12,Hard,2,2,1,0.34701,0,12   5   7  10   3   8   6   9,11   5   7  10   3   8   6   9,104.2166,105.223,106.2223,107.2216,108.2209,108.5829,108.8372
BB211,1,y,1,4,13,Easy,1,1,2,0.43003,0,9  5  2  8,9  3  2  8,112.2222,113.2174,114.2167,115.216,116.2157,116.649,116.899
BB211,1,y,1,4,14,Easy,1,1,1,0.37873,1,11  12   3   4,11   9   3   4,120.2155,121.2154,122.2153,123.2153,124.2152,124.6094,124.8651
BB211,1,y,1,4,15,Easy,1,2,1,0.37902,0,6   4  10   5,6   4  11   5,128.2235,129.2315,130.2387,131.2481,132.254,132.6479,132.9035
