SubjID,Run,Feedback,Counterbalance,Block,Trial,Condition,Cond_num(1=E/2=H),CorResp(1=L/2=R),Resp,RT,GradedResp,CorGrid,DecoyGrid,TrialStart/Stim1,Stim2,Stim3,Stim4,MemProbe,Feedback,TrialEnd
BO212,1,y,1,1,1,Easy,1,2,2,1.1734,1,6   4   3  12,11   4   3  12,16.0717,17.0717,18.0716,19.0715,20.0714,21.2547,21.5046
BO212,1,y,1,1,2,Easy,1,1,1,1.1355,1,6  10   1   8,6  10   1   5,24.0711,25.071,26.0802,27.0876,28.0955,29.2446,29.4945
BO212,1,y,1,1,3,Easy,1,2,2,1.2376,1,9  3  6  1,9  3  6  7,32.1038,33.1086,34.1079,35.1071,36.1064,37.3555,37.6053
BO212,1,y,1,1,4,Easy,1,2,2,1.2437,1,1  11   5   4,3  11   5   4,40.1036,41.1032,42.1031,43.103,44.1029,45.3528,45.6028
BO212,1,y,1,2,5,Hard,2,1,2,1.1218,0,6   1   9   3   8  12  10  11,5   1   9   3   8  12  10  11,48.1026,49.1026,50.1025,51.1024,52.1117,53.2442,53.5022
BO212,1,y,1,2,6,Hard,2,1,2,1.596,0,9   3   7   5   8   6  12   1,2   3   7   5   8   6  12   1,56.1187,57.1248,58.1241,59.1234,60.1226,61.7349,61.988
BO212,1,y,1,2,7,Hard,2,2,2,1.3947,1,12   5   4  10   8   6   2   7,12   5   4  10   8   6   9   7,64.1198,65.1191,66.1184,67.1179,68.1178,69.5177,69.7676
BO212,1,y,1,2,8,Hard,2,1,2,1.4956,0,1   2   9   4  10   8   3   6,1   2   9   4  10   8   3  11,72.1175,73.1174,74.1173,75.1173,76.1172,77.6268,77.8837
BO212,1,y,1,3,9,Hard,2,1,1,1.0819,1,5   7   6  12  11   1   4   3,10   7   6  12  11   1   4   3,80.125,81.1335,82.1403,83.1396,84.1389,85.2381,85.4879
BO212,1,y,1,3,10,Hard,2,2,2,1.6371,1,1   9  10   3  12   5  11   7,1   9   6   3  12   5  11   7,88.136,89.1486,90.1512,91.1505,92.1498,93.7992,94.0491
BO212,1,y,1,3,11,Hard,2,2,2,1.2057,1,4  12   3   7   1   2   6   9,4  12   3  10   1   2   6   9,96.149,97.1489,98.1488,99.1488,100.1487,101.3653,101.6152
BO212,1,y,1,3,12,Hard,2,1,1,1.8579,1,6  11   8   3  10   9   7   4,2  11   8   3  10   9   7   4,104.1579,105.165,106.1732,107.1815,108.1884,110.0537,110.3035
BO212,1,y,1,4,13,Easy,1,1,1,1.0489,1,11   7  12   9,11   7   3   9,112.1978,113.2015,114.2008,115.2001,116.1993,117.2652,117.5151
BO212,1,y,1,4,14,Easy,1,2,2,0.93208,1,11   3   9  12,11   6   9  12,120.1972,121.1971,122.197,123.197,124.1969,125.1468,125.3968
BO212,1,y,1,4,15,Easy,1,1,1,1.0806,1,3  11   8   4,3  11   9   4,128.1966,129.1965,130.206,131.213,132.2213,133.3128,133.5703
BO212,1,y,1,4,16,Easy,1,1,1,1.1082,1,2   7  11  10,2   7   3  10,136.2293,137.2344,138.2336,139.2329,140.2322,141.3481,141.5979
BO212,1,y,1,5,17,Hard,2,2,2,1.7381,1,9   5   7   6   1   2  11   4,9   5   7   6  10   2  11   4,157.7031,158.711,159.7183,160.7275,161.7336,163.4823,163.7321
