SubjID,Run,Feedback,Counterbalance,Block,Trial,Condition,Cond_num(1=E/2=H),CorResp(1=L/2=R),Resp,RT,GradedResp,CorGrid,DecoyGrid,TrialStart/Stim1,Stim2,Stim3,Stim4,MemProbe,Feedback,TrialEnd
BR212,2,y,2,1,1,Hard,2,1,2,1.0334,0,12   8   4  10  11   9   2   5,12   8   4  10  11   1   2   5,16.0784,17.0878,18.0936,19.0929,20.0922,21.1414,21.3913
BR212,2,y,2,1,2,Hard,2,1,1,1.1244,1,4   5   1   2   9   3  10   7,4   5   1   2   9   3  11   7,24.0893,25.0886,26.0879,27.0872,28.0869,29.2202,29.4701
BR212,2,y,2,1,3,Hard,2,1,1,0.92756,1,9   1   2  10   6   4  12   3,9   8   2  10   6   4  12   3,32.0866,33.0865,34.0865,35.0864,36.0863,37.03,37.2862
BR212,2,y,2,1,4,Hard,2,2,1,1.2226,0,9   8   2   1   7   6   5  12,9   4   2   1   7   6   5  12,40.0945,41.1026,42.1098,43.1191,44.125,45.3574,45.6072
BR212,2,y,2,2,5,Easy,1,1,1,0.84158,1,4   8   7  12,4   8   6  12,48.1221,49.1214,50.1207,51.12,52.1192,52.9686,53.2184
BR212,2,y,2,2,6,Easy,1,1,1,1.0444,1,3  9  8  7,3  9  4  7,56.118,57.1179,58.1179,59.1178,60.1177,61.1794,61.4342
BR212,2,y,2,2,7,Easy,1,2,2,0.95684,1,2  5  1  3,9  5  1  3,64.1273,65.134,66.1425,67.1505,68.1578,69.1237,69.3735
BR212,2,y,2,2,8,Easy,1,2,2,0.86755,1,10   9  11   4,10   3  11   4,72.1667,73.1708,74.1701,75.1694,76.1687,77.0513,77.3012
BR212,2,y,2,3,9,Easy,1,2,2,0.85074,1,10   2   8   3,10   2  11   3,80.1661,81.166,82.1659,83.1659,84.1658,85.0324,85.2823
BR212,2,y,2,3,10,Easy,1,2,2,0.89994,1,4  12  10   1,4   3  10   1,88.1655,89.1738,90.182,91.1912,92.1985,93.115,93.373
