SubjID,Run,Feedback,Counterbalance,Block,Trial,Condition,Cond_num(1=E/2=H),CorResp(1=L/2=R),Resp,RT,GradedResp,CorGrid,DecoyGrid,TrialStart/Stim1,Stim2,Stim3,Stim4,MemProbe,Feedback,TrialEnd
BU213,1,y,1,1,1,Easy,1,2,2,0.71254,1,8  6  7  4,8  5  7  4,16.0719,17.0718,18.0718,19.0717,20.0716,20.7978,21.0548
BU213,1,y,1,1,2,Easy,1,1,1,1.1549,1,6  11   2   1,6  9  2  1,24.0788,25.0879,26.0941,27.0934,28.0926,29.2584,29.5083
BU213,1,y,1,1,3,Easy,1,2,2,0.67964,1,7   8   3  11,7  8  3  6,32.0898,33.0891,34.0883,35.0876,36.087,36.7703,37.0202
BU213,1,y,1,1,4,Easy,1,1,1,0.69696,1,3  11   7   9,3  11   6   9,40.0867,41.0866,42.0865,43.0864,44.0864,44.7973,45.0529
BU213,1,y,1,2,5,Hard,2,1,1,0.95338,1,1   7  10   9   6   8   2  11,1   7  10   9   6   8   5  11,48.095,49.1026,50.1102,51.1191,52.1254,53.0914,53.3412
BU213,1,y,1,2,6,Hard,2,2,2,0.79676,1,12   3  11   7   9   2  10   8,12   3  11   7   9   4  10   8,56.1226,57.1218,58.1211,59.1204,60.1197,60.9191,61.1689
BU213,1,y,1,2,7,Hard,2,2,1,0.89639,0,4  11  12   5   6   1   2   8,3  11  12   5   6   1   2   8,64.1181,65.118,66.118,67.1179,68.1178,69.03,69.2844
BU213,1,y,1,2,8,Hard,2,1,2,0.91217,0,5  12   1  11  10   6   9   3,5  12   1   7  10   6   9   3,72.1175,73.1271,74.134,75.1423,76.1505,77.0742,77.324
BU213,1,y,1,3,9,Hard,2,1,1,1.1265,1,2   9   8   3   1  10  11   5,2   9   8   3   4  10  11   5,80.1554,81.1546,82.154,83.1532,84.1525,85.285,85.5348
BU213,1,y,1,3,10,Hard,2,1,1,1.1119,1,9   4   7  11  10   8  12   5,9   4   7   3  10   8  12   5,88.1496,89.1495,90.1494,91.1493,92.1492,93.2658,93.5158
