SubjID,Run,Feedback,Counterbalance,Block,Trial,Condition,Cond_num(1=E/2=H),CorResp(1=L/2=R),Resp,RT,GradedResp,CorGrid,DecoyGrid,TrialStart/Stim1,Stim2,Stim3,Stim4,MemProbe,Feedback,TrialEnd
BW212,2,y,2,1,1,Hard,2,1,1,1.7529,1,5   8   4  10  12   3   2  11,5   6   4  10  12   3   2  11,16.0771,17.0764,18.0757,19.0749,20.0742,21.8396,22.0894
BW212,2,y,2,1,2,Hard,2,1,1,1.6035,1,12   1  11   7   2   3   9   5,12   1  11   8   2   3   9   5,24.0714,25.0706,26.0702,27.0701,28.07,29.6866,29.9365
BW212,2,y,2,1,3,Hard,2,2,2,1.7191,1,8  11   3   7   1   4   6  12,8  11   3   7   1   4   6   5,32.0697,33.0696,34.0696,35.0695,36.0694,37.8026,38.0613
BW212,2,y,2,1,4,Hard,2,1,1,1.2538,1,4   7   1   3  10  11  12   8,4   7   1   3   2  11  12   8,40.0766,41.0857,42.0918,43.0911,44.0904,45.3561,45.6059
BW212,2,y,2,2,5,Easy,1,1,1,1.0099,1,4  5  2  3,4  5  2  8,48.0875,49.0868,50.0861,51.0854,52.0848,53.1014,53.3514
BW212,2,y,2,2,6,Easy,1,2,2,0.77214,1,7  2  3  6,7   2   3  11,56.0845,57.0844,58.0843,59.0842,60.0842,60.8674,61.1174
BW212,2,y,2,2,7,Easy,1,2,2,1.3864,1,2  12   8   3,2  12   6   3,64.0927,65.1004,66.1079,67.117,68.1232,69.5221,69.772
BW212,2,y,2,2,8,Easy,1,1,1,1.349,1,9  8  2  4,9  8  2  1,72.1203,73.1196,74.1189,75.1181,76.1174,77.4831,77.7329
BW212,2,y,2,3,9,Easy,1,1,2,1.8648,0,1   9   7  10,1   3   7  10,80.1159,81.1158,82.1158,83.1157,84.1156,85.9937,86.2488
BW212,2,y,2,3,10,Easy,1,1,1,0.67963,1,11   7   1   5,4  7  1  5,88.1153,89.1248,90.1318,91.14,92.1483,92.8388,93.0886
BW212,2,y,2,3,11,Easy,1,2,2,1.4684,1,11   8   7   3,9  8  7  3,96.1531,97.1524,98.1517,99.1509,100.1502,101.6325,101.8823
BW212,2,y,2,3,12,Easy,1,1,1,0.97619,1,9   7   8  11,9   7   6  11,104.1474,105.1473,106.1472,107.1471,108.147,109.1303,109.3803
BW212,2,y,2,4,13,Hard,2,1,1,1.2031,1,12  11   6  10   7   1   2   4,12  11   6   3   7   1   2   4,112.1511,113.1576,114.1632,115.1728,116.1797,117.3963,117.6543
BW212,2,y,2,4,14,Hard,2,1,1,1.2034,1,3  10   6   7   5  12   4   2,3  10   6   7   5  12   4   1,120.1859,121.1852,122.1844,123.1837,124.183,125.3988,125.6486
BW212,2,y,2,4,15,Hard,2,1,1,1.5192,1,3  12   1   7   6   9   8   2,3  12   1  11   6   9   8   2,128.1802,129.1794,130.1787,131.1786,132.1785,133.7117,133.9617
BW212,2,y,2,4,16,Hard,2,1,1,1.7005,1,11   3   4   7  12   6   5   2,11   8   4   7  12   6   5   2,136.1782,137.1781,138.178,139.1779,140.1779,141.8944,142.1444
BW212,2,y,2,5,17,Easy,1,2,2,1.0216,1,4  11   1   6,2  11   1   6,158.2431,159.243,160.2429,161.2429,162.2428,163.276,163.526
BW212,2,y,2,5,18,Easy,1,2,2,1.4659,1,11  10   6   4,11  10   6   2,166.2425,167.2522,168.259,169.2674,170.2755,171.7587,172.0154
BW212,2,y,2,5,19,Easy,1,2,2,0.71671,1,6  7  4  8,6  11   4   8,174.2805,175.2798,176.279,177.2783,178.2776,179.0104,179.2602
BW212,2,y,2,5,20,Easy,1,1,1,0.97163,1,2  12   5  11,8  12   5  11,182.2748,183.2745,184.2744,185.2743,186.2742,187.2575,187.5074
BW212,2,y,2,6,21,Hard,2,2,1,1.5388,0,6   3   5   8  12   4   9  10,6   3   1   8  12   4   9  10,190.2739,191.2738,192.2737,193.2737,194.2828,195.8401,196.0982
BW212,2,y,2,6,22,Hard,2,2,1,1.5431,0,8   9   6   4   7   2   3  10,8   9   6   4   7   2   3  12,198.2899,199.2959,200.2952,201.2945,202.2938,203.8426,204.0925
BW212,2,y,2,6,23,Hard,2,1,1,1.0927,1,6  4  9  7  5  2  3  8,6   4   9  11   5   2   3   8,206.2909,207.2902,208.2895,209.2891,210.289,211.3889,211.6389
BW212,2,y,2,6,24,Hard,2,2,2,1.3597,1,3   9   8  12  11   7  10   1,3   9   8  12  11   7   4   1,214.2887,215.2886,216.2885,217.2884,218.2884,219.6647,219.9216
BW212,2,y,2,7,25,Hard,2,2,2,0.85062,1,1   8   4   3   7   2   6  10,1   8   4   3   7   2   6  11,222.2961,223.3046,224.3113,225.3106,226.3099,227.1759,227.4257
BW212,2,y,2,7,26,Hard,2,2,2,1.1686,1,11   1   3   4   9   7   6   5,11   1   3   4   9   2   6   5,230.307,231.3063,232.3056,233.3049,234.3042,235.487,235.737
BW212,2,y,2,7,27,Hard,2,1,1,1.2183,1,12   6  11   2   3   9   7   4,10   6  11   2   3   9   7   4,238.3034,239.3034,240.3033,241.3032,242.3031,243.5364,243.7863
BW212,2,y,2,7,28,Hard,2,2,2,0.98414,1,7   8   4  10   2   9   1   3,7   8   5  10   2   9   1   3,246.3122,247.3194,248.3275,249.3359,250.3427,251.342,251.5918
